Site_ID,Site_Type,Site_Name,State,Latitude,Longitude,Lat_Long_Datum,Lat_Long_Source,Elevation_in_Meters,Elevation_Source,Degree_of_Development_Surrounding_Site,Landscape_Description,Proximity_to_Road,Proximity_to_Permanent_Water,Area_of_Site,Type_of_Forest_at_Site,Presence_of_Slope,Location_Relative_to_Slope,Slope_Aspect,Presence_of_Domesticated_Cats,Presence_of_Domesticated_Dogs,Presence_of_Domesticated_Animals,Presence_of_Garden,Presence_of_Bird_Feeder,Presence_of_Nesting_Box,Presence_of_Fruit,Presence_of_Birdbath,Presence_of_Other_Features_Designed_to_Attract_Animals,Site_Comments,Site_Registration_Date
2,Personal,Home,ME,43.08535,-70.69133,WGS84,User,12,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,Southwest,,,,,,,,,,,
3,Personal,BEW_Home,TN,35.879211,-84.172203,WGS84,Google Maps,284,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",20 ft,4 mi,0.3 ac,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,1,1,,1,,,,,,,
6,Personal,Stewardship Garden,NY,43.040955,-76.212914,WGS84,Google,163,Earthtools,,,,,,,,,,,,,,,,,,,,
22,Personal,Conkey Branch Survey,IL,40.060001,-87.57,WGS84,Other,209,Other,,,,,,,,,,,,,,,,,,,"Latitude, longitude and elevation obtained from the National Weather Servive for whom I am a COOP obsever.",
38,Personal,Cedar Bog Lake Lowland 2,MN,45.407852,-93.200974,WGS84,Google Maps,281,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
44,Personal,9360018,PA,40.633945,-75.662949,WGS84,Google Maps,620,USGS,,,,,,,,,,,,,,,,,,,,
48,Personal,PPN_44881,CA,37.956501,-119.119499,WGS84,User,2067,,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_44881,
62,Personal,PPN_56320,CO,38.38916,-108.950043,WGS84,,1657,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",1500 ft,150 ft,2 ac,A mixture of evergreen and deciduous trees,"Yes, and the site is...",In the middle of the slope,South,1,1,,1,1,,1,,,Plant Phenology Network station PPN_56320,
132,Personal,PPN_214861,MN,45.704201,-95.018402,WGS84,User,399,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_214861,
177,Personal,PPN_305711,NY,43.970085,-74.21788,WGS84,User,492,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",In the middle of the slope,Northeast,,,,,,,,,,Plant Phenology Network station PPN_305711AEC Biology Residence 1 yard: sugar maple trees at edge of lawn and driveway,
183,Personal,PPN_328913,ND,48.614853,-100.726822,WGS84,Google Maps,438,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,North,,,,,,,,,,Plant Phenology Network station PPN_328913,
258,Personal,PPN_9050002,CO,39.184269,-106.854614,WGS84,Google Maps,2438,User,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9050002,
261,Personal,PPN_9050005,CO,39.098499,-104.834297,WGS84,User,2191,Google Elevation Service,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9050005,
263,Personal,PPN_9050009,CO,40.58725,-104.963005,WGS84,User,1528,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9050009,
347,Personal,PPN_9110020,IL,41.9772,-89.896103,WGS84,User,250,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9110020,
374,Personal,PPN_9120024,IN,38.059898,-87.641197,WGS84,User,161,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9120024,
384,Personal,PPN_9120036,IN,41.214497,-85.126816,WGS84,Google Maps,262,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9120036,
414,Personal,PPN_9170001,ME,44.277962,-70.315315,WGS84,User,150,Auto-USGS-WebService,Rural,Forest or woodland,,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,Southeast,,,,,,,,,,Plant Phenology Network station PPN_9170001,
430,Personal,PPN_9190009,MA,42.323002,-71.647003,WGS84,User,92,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9190009,
443,Personal,PPN_9200010,MI,42.304653,-83.70118,WGS84,Google Maps,276,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",70 ft,600 yd,500 sqyd,,,,,,,,1,,,,,,Plant Phenology Network station PPN_9200010,
444,Personal,Home,MI,42.383965,-83.571907,WGS84,Google Maps,269,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9200011,
459,Personal,PPN_9239908,MO,36.524502,-92.751999,WGS84,User,234,,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9239908,
463,Personal,PPN_9239912,MO,37.427532,-92.958176,WGS84,User,391,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,Plant Phenology Network station PPN_9239912,
475,Personal,PPN_9240002,MT,47.027077,-114.049248,WGS84,User,972,Auto-USGS-WebService,Rural,Forest or woodland,,,,"Mostly evergreen trees (for example, pine or live oak)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,Plant Phenology Network station PPN_9240002,
606,Personal,PPN_9390006,SD,44.07,-103.324402,WGS84,User,1118,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9390006,
637,Personal,Frizzle Mountain,VT,44.34095,-72.46122,WGS84,,518,User,Wildlands or semi-wildlands,Forest or woodland,,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,"Plant Phenology Network station PPN_9430004. This site is within 200 meters of my backdoor. The clearing was once a grassy lawn, but it hasn't been mowed in over 10 years. Most trees are 4-8&quot; dbh, with a few large (24+&quot;dbh) white pines scattered about. An underground stream runs through a depression in the middle of the site. The quaking aspen is at the far end of the site, on the edge of an open (unmowed) field.",
644,Personal,PPN_9440008,VA,37.32526,-79.055511,WGS84,Google Maps,274,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9440008,
664,Personal,"43.104829 longitude, 90.042336 latitude, 1023 elevation",WI,43.104828,-90.042336,WGS84,Google Maps,310,Auto-USGS-WebService,Wildlands or semi-wildlands,Other (please describe in comments box),1 mi,2 mi,38 ac,"Mostly deciduous trees (for example, maple or larch)","Yes, and the site is...",On the top of the slope or on a ridge,Northwest,,,none,1,,1,,1,,"Trees, shrubs, prairie and open fields",
678,Personal,PPN_9470029,WI,45.177551,-89.848251,WGS84,User,432,Auto-USGS-WebService,Rural,,100 yd,150 yd,6 ac,,,,,,,,1,,,,,,Plant Phenology Network station PPN_9470029,
703,Personal,PPN_9050020,CO,37.576965,-106.100365,WGS84,,2335,User,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,Plant Phenology Network station PPN_9050020,
708,Group,"home, Site #102676",ID,43.72168,-111.103851,WGS84,,1865,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_102676,
714,Personal,Frog Hill,VA,38.793007,-78.026627,WGS84,Google Maps,165,Google Earth,,,,,,,,,,,,,,,,,,,,
719,Personal,Chicamuxen 3,MD,38.528801,-77.231903,WGS84,Google Earth,34,Google Earth,,,,,,,,,,,,,,,,,,,Upland along Milstead Rd next to route 224,
720,Personal,Chicamuxen 2,MD,38.530819,-77.234512,WGS84,Google Earth,25,Google Earth,,,,,,,,,,,,,,,,,,,Upland near house,
744,Personal,KAHfrontyard,CO,37.282257,-107.857346,,,2080,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
747,Personal,My yard,MO,38.949142,-92.350006,WGS84,Google Maps,221,Google Elevation Service,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",20 ft,0.25 mi,0.25 ac,,"No, the surrounding terrain is relatively flat",,,1,1,possum,1,1,,1,1,pollinator plants,,
770,Personal,front yard,MD,39.28931,-76.712364,,,130,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
777,Personal,Home,CO,39.719887,-104.917572,,,1645,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
790,Personal,Home,NH,43.269737,-71.330513,,,215,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
797,Personal,Home,IL,38.454346,-90.096405,,,189,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
844,Personal,Home,CO,39.864285,-105.100296,,,1668,User,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
